"","x"
"1",0.000422510155053397
"2",0.000422510155053397
"3",0.000725332817780368
"4",0.000825298177308117
"5",0.00104572739569641
"6",0.00124121796256267
"7",0.00140243336780232
"8",0.00157234101380621
"9",0.00408715235134145
"10",0.00278463679666984
"11",0.00492788324785148
"12",0.00402226583828773
"13",0.00458956269283593
"14",0.00512483885650853
"15",0.00485202225858358
"16",0.00592017695661463
"17",0.00524338059088017
"18",0.00610712703234128
"19",0.0065669979137296
"20",0.00661800601052815
"21",0.00645214645313605
"22",0.00646466377444614
"23",0.00706793575579334
"24",0.00664257964089599
"25",0.00769804514421155
"26",0.00694457025603242
"27",0.0072185339921761
"28",0.00690619917352042
"29",0.00692705224762184
"30",0.00676043418533507
"31",0.00674461456445815
"32",0.00663695631338358
"33",0.00660026314622377
"34",0.00649127240799455
"35",0.00735873801489397
"36",0.00737864960020819
"37",0.00720203355209075
"38",0.00711763289978349
"39",0.00800766515414689
"40",0.00730639224281603
"41",0.00756486946348495
"42",0.00732838860919807
"43",0.00738504309837728
"44",0.00735824387940244
"45",0.00942780329093327
"46",0.00797388322453137
"47",0.00854569151451404
"48",0.00800086073335372
"49",0.00806988729617246
"50",0.0078545875246017
"51",0.00844133873026085
"52",0.00785963824274457
"53",0.00848243188789466
"54",0.00804612390516384
"55",0.00806724004343279
"56",0.00786677231166923
"57",0.00778259091124735
"58",0.00768242852594176
"59",0.00851439405221073
"60",0.00782407183538703
"61",0.00801887756785016
"62",0.00768756113335509
"63",0.00773367282700398
"64",0.0076804113936975
"65",0.00899361508288848
"66",0.00801455622407251
"67",0.00917338128684312
"68",0.00828578667382723
"69",0.00857592215904456
"70",0.00822510293673691
"71",0.00829171879762648
"72",0.00864882785736296
"73",0.00936154898058311
"74",0.00864817022243253
"75",0.00897427380731499
"76",0.00853150115724872
"77",0.00852772809671836
"78",0.0083013025582952
"79",0.00826468636447751
"80",0.00808408754903257
"81",0.00795085312198724
"82",0.00826565742729221
"83",0.00846070523555051
"84",0.00837512960322372
"85",0.00828030187775949
"86",0.00859856739494802
"87",0.00817438857984394
"88",0.00832074202371286
"89",0.0102460667152282
"90",0.00999169744811571
"91",0.011921802559575
"92",0.0103861177494596
"93",0.0108542515731219
"94",0.0118203800876915
"95",0.0109009021811481
"96",0.0109697270051995
"97",0.0107160671914712
"98",0.0104375961621201
"99",0.0101868600708741
"100",0.0104403077778699
"101",0.0100613288124682
"102",0.00989376506626582
"103",0.0097092940664869
"104",0.0126842368626939
"105",0.0119285212600852
"106",0.01188300098592
"107",0.0114486894640987
"108",0.0112455210222668
"109",0.0109071697837544
"110",0.0120680131875838
"111",0.0110691726461346
"112",0.0120479670263155
"113",0.01107154536861
"114",0.011202409508904
"115",0.0107062355111406
"116",0.0106315938597005
"117",0.0103906678128501
"118",0.0116739535510423
"119",0.0106326789177719
"120",0.0109564107286792
"121",0.0103942566132787
"122",0.0103813112139261
"123",0.010979124017484
"124",0.0103528880899128
"125",0.0103210085535353
"126",0.0105186349354556
"127",0.0112218369534517
"128",0.011614769820935
"129",0.0111417114277009
"130",0.011044387646545
"131",0.010683589244909
"132",0.0104630515613787
"133",0.0102587751376725
"134",0.0101542840801914
"135",0.00993251415320072
"136",0.0112069177987036
"137",0.0109425277596364
"138",0.0107214096721121
"139",0.0104767142173562
"140",0.0107081708768171
"141",0.0107366513780863
"142",0.0103538492290024
"143",0.010193263474035
"144",0.00991205564773135
"145",0.0108959694322073
"146",0.0107189192029615
"147",0.011055149359331
"148",0.0105240846887815
"149",0.0104033505290307
"150",0.0100717792703528
"151",0.00997668068459231
"152",0.0107247882444343
"153",0.010238748414595
"154",0.0112635767918372
"155",0.0103020228878081
"156",0.010484141146017
"157",0.0106680834148299
"158",0.0106690485594887
"159",0.0108246936648573
"160",0.0116471245663407
"161",0.0107727080874519
"162",0.0115488065313966
"163",0.0107399154899355
"164",0.0108244249717167
"165",0.0103500851234387
"166",0.010348798492933
"167",0.0104351884784704
"168",0.011692979613402
"169",0.0106346937977121
"170",0.0119083649154371
"171",0.0107307863288971
"172",0.0109926588600534
"173",0.0104426371199645
"174",0.0103468520160122
"175",0.010024164681727
"176",0.00992265324445303
"177",0.00962361485727665
"178",0.0104147205922397
"179",0.0098888838674411
"180",0.00990497098433458
"181",0.0106730960419462
"182",0.0112497332962488
"183",0.0105789802115118
"184",0.0105788568092846
"185",0.0105973859377102
"186",0.0102184098065522
"187",0.0101252414110058
"188",0.00990232407930974
"189",0.00966587944408712
"190",0.0100685277539159
"191",0.00954635039346724
"192",0.00955018005331292
"193",0.0092118900390328
"194",0.0100508387737416
"195",0.0100639875118478
"196",0.00973560295953687
"197",0.00957428009725547
"198",0.00968309440225554
"199",0.00930037467410509
"200",0.00919101404708183
"201",0.00927208435581803
"202",0.0101942994282638
"203",0.00999367851682262
"204",0.0100907737695733
"205",0.00969591092682649
"206",0.0103006449279316
"207",0.0102215912317113
"208",0.0101034707935618
"209",0.010342910851683
"210",0.00983263412559452
"211",0.010279930355982
"212",0.00969682217506495
"213",0.0111083536036396
"214",0.00990717036854874
"215",0.0108411405649986
"216",0.00994945919909223
"217",0.0101054725746972
"218",0.0103979494014414
"219",0.00985878337007889
"220",0.00984369558422722
"221",0.00952323178967875
"222",0.00940280675461266
"223",0.00918802631248632
"224",0.00898758880866092
"225",0.00915258043999946
"226",0.0090760583071281
"227",0.00883295853126447
"228",0.00872863693320452
"229",0.00967644622859189
"230",0.00892589214969593
"231",0.00906357843354444
"232",0.00873536563427125
"233",0.00867723257623167
"234",0.00846662711575938
"235",0.00840599274690544
"236",0.0082572546962995
"237",0.00863663367665753
"238",0.00829122186605183
"239",0.00827052385828008
"240",0.00816305967781188
"241",0.00803650318981648
"242",0.00885926572585175
"243",0.0083471648985106
"244",0.00837872576604762
"245",0.00831541849033086
"246",0.00809775385220564
"247",0.00801526038346878
"248",0.00782911984029419
"249",0.00790064424744168
"250",0.00800892178274017
"251",0.00806372153695066
"252",0.00780992961824659
"253",0.00773754724126896
"254",0.00759937775009857
"255",0.00860763073614809
"256",0.00824584415099572
"257",0.00822936563959377
"258",0.00804077972958597
"259",0.00794775406955684
"260",0.00781016144590854
"261",0.00768704430178243
"262",0.00758892523316919
"263",0.00743589301805463
"264",0.00732697454123589
"265",0.00773836365362824
"266",0.00733536180774647
"267",0.00747379559860682
"268",0.008566624748749
"269",0.00841683313653267
"270",0.00911895950455022
"271",0.00850352662687415
"272",0.00928509858905632
"273",0.0092204025029424
"274",0.0103131178703076
"275",0.00937122435169324
"276",0.0096008541753638
"277",0.0095196229751889
"278",0.0100431985173869
"279",0.0102042591525765
"280",0.00977598784459013
"281",0.00968047149516587
"282",0.00946028425194975
"283",0.00933081602408537
"284",0.00965053944378916
"285",0.00932074218222803
"286",0.0106047535103812
"287",0.0100893144361534
"288",0.0101004514364324
"289",0.00989626857533082
"290",0.00976918236843581
"291",0.0095127512281667
"292",0.00937855451377236
"293",0.0103003542303518
"294",0.0101426791415386
"295",0.0106247130788397
"296",0.00996785686806111
"297",0.0100294836663242
"298",0.00995533780663526
"299",0.00972177534355439
"300",0.0105623414262211
