"","V1"
"1",-7.62613003538442e-05
"2",0.00402723971763788
"3",-0.000102211929635301
"4",0.00390701244833328
"5",0.0115914370493203
"6",0.0067961777233995
"7",0.00694329477171554
"8",-0.0243461984839742
"9",0.0049339728977377
"10",-0.0133635854212724
"11",0.0400194171614573
"12",0.00652668745678434
"13",-0.00859660813332005
"14",-0.00062630590300258
"15",-0.00955955839409669
"16",0.000217095651679519
"17",-0.00555168190082575
"18",-0.0104985250298811
"19",-0.00447313058929185
"20",0.00118909744656906
"21",0.00807485804546007
"22",-0.00753194748038907
"23",0.0109664495207617
"24",-0.00982408344987959
"25",0.00537625534472267
"26",0.00479340384985686
"27",0.00329220406720268
"28",0.00248629208377729
"29",0.00172772584275008
"30",0.00698874674442599
"31",0.00543618770690904
"32",0.00736395832049422
"33",0.00231820960250398
"34",-0.00955343886610657
"35",-0.0069333612461154
"36",0.00452674286944036
"37",0.000873884280612999
"38",-0.0103454867496816
"39",0.00309168187837897
"40",-0.000718842574217585
"41",0.0159290652623962
"42",0.0171519831574786
"43",-0.0020407293505574
"44",-0.0227394859094546
"45",0.000742936628851085
"46",0.00313589445985399
"47",0.00593711444008652
"48",0.00199607519461057
"49",0.00936976696992745
"50",-0.0070709425849392
"51",0.00095657039095923
"52",-0.00543254792119194
"53",-0.00175640595960855
"54",0.00393857646142762
"55",-0.000559835903641029
"56",0.00537721965715568
"57",0.0111188329786342
"58",-0.0100599818922707
"59",0.00501952311539747
"60",-0.000490660141474555
"61",0.00224306556097612
"62",0.0119342939601012
"63",-0.00195478868743234
"64",-0.015176049135338
"65",0.00566375278685252
"66",-0.00877751254192924
"67",0.00844081999507865
"68",0.00958984707695479
"69",0.011964591359582
"70",0.0183833136197319
"71",-0.00659458893205275
"72",-0.0120216100805251
"73",0.000827620673349214
"74",-0.00225567624279152
"75",0.00565610716838974
"76",0.0045717758209313
"77",0.00666069362921232
"78",0.0141278219373112
"79",0.00807306054440052
"80",0.00210862498579437
"81",-0.00483946165387613
"82",-0.00629857350503968
"83",-0.00294229582600599
"84",0.0173427301812875
"85",-0.00531058572439055
"86",0.00410578244036178
"87",-0.00169851659094586
"88",-0.0228905886569063
"89",-0.0119342253984095
"90",-0.0218908467755715
"91",0.00240459072559976
"92",0.00532655515561845
"93",-0.0167011952510668
"94",0.0144656073009023
"95",0.00110865741290392
"96",-0.00227399669238223
"97",-8.39828250037394e-05
"98",0.000612001052800712
"99",-0.00510969079330223
"100",0.0228724487683429
"101",0.00104967211701981
"102",0.0130386946853184
"103",-0.0326331212522329
"104",-0.0142885389209938
"105",0.00724579085858049
"106",0.00628157607366512
"107",0.00502105879785422
"108",0.00173010992336478
"109",-0.0142889855531806
"110",0.0204370615124868
"111",-0.0089453877022719
"112",0.00965545611032806
"113",0.00704832247801771
"114",0.00455036326245298
"115",0.0112152882581266
"116",0.0191507950681368
"117",-0.0157048985268689
"118",0.0200453371652544
"119",-0.00179739624547501
"120",0.00758657690005241
"121",0.0118756488048994
"122",-0.010023053328741
"123",0.0195352027760619
"124",0.00403058812039917
"125",-0.00583601376838202
"126",-0.0123344846427225
"127",-0.0124506633435001
"128",-0.00227465867852147
"129",0.0139116272965926
"130",0.00468444661507431
"131",0.000928077463554197
"132",0.0116676145989851
"133",0.024826649168732
"134",0.0150631556277449
"135",-0.015405902464754
"136",-0.00892832990419786
"137",0.0105480644360116
"138",0.00844574775947652
"139",-0.00511939597512442
"140",-0.00583471628584817
"141",0.00819786732097142
"142",0.00448969066808838
"143",0.00295082404028771
"144",-0.0121324182675014
"145",-0.00800695959264405
"146",-0.0067140585686026
"147",0.0137773413604946
"148",0.000467904333347677
"149",0.000936564452450303
"150",-0.00106779071875359
"151",-0.0108138752977221
"152",-0.00347772322610237
"153",-0.0116483093234777
"154",0.00778962986538803
"155",0.00803054664068928
"156",-0.00698121299133633
"157",-0.00526919025543479
"158",-0.00583044978346389
"159",-0.0135187744895822
"160",0.00827197801236893
"161",-0.00737596990654374
"162",0.0129584431632409
"163",-0.000726901965749063
"164",0.00052869101481737
"165",-0.001424558930713
"166",-0.00489902411563755
"167",-0.0172698480773286
"168",0.0159422236539112
"169",-0.0113003918759587
"170",0.00259815713297754
"171",0.00688769341830878
"172",0.00495622611377558
"173",0.001738170298942
"174",0.00351627507793975
"175",0.014112751302715
"176",0.00236984791196174
"177",-0.00988958550635085
"178",-0.00309854448288291
