Fecha,Valor
1,30.508214
2,30.512858
3,30.6429886
4,30.6468578
5,30.7738598
6,31.1397622
7,31.3592782
8,31.584988
9,30.8323424
10,30.9919242
11,30.5875036
12,31.843696
13,32.0595334
14,31.7923742
15,31.7797286
16,31.4845684
17,31.4986
18,31.3313718
19,31.0112436
20,30.8798904
21,30.9236958
22,31.1815344
23,30.9546304
24,31.303112
25,31.004176
26,31.1784338
27,31.3354018
28,31.445918
29,31.5314022
30,31.5931442
31,31.8219836
32,32.0027558
33,32.2466592
34,32.3288858
35,32.0288212
36,31.8147898
37,31.9664362
38,32.001694
39,31.6795646
40,31.7849204
41,31.7693378
42,32.2868214
43,32.852886
44,32.793402
45,32.0634362
46,32.094598
47,32.2027578
48,32.40192
49,32.4740798
50,32.7872744
51,32.5636942
52,32.6023064
53,32.4330822
54,32.3835644
55,32.5187898
56,32.508016
57,32.6907576
58,33.0638222
59,32.7403476
60,32.9126204
61,32.9039922
62,32.9854162
63,33.3890598
64,33.3314694
65,32.8369498
66,33.0310036
67,32.7498238
68,33.0349758
69,33.3609212
70,33.770183
71,34.4045918
72,34.1862638
73,33.7854684
74,33.8211678
75,33.7526748
76,33.9518806
77,34.1152498
78,34.3510868
79,34.847798
80,35.1382922
81,35.2205098
82,35.0584822
83,34.8463182
84,34.7518796
85,35.3679082
86,35.1886204
87,35.3414678
88,35.2895524
89,34.4988102
90,34.09733
91,33.3666436
92,33.4546158
93,33.6409742
94,33.091355
95,33.581192
96,33.6261244
97,33.5574116
98,33.5622606
99,33.5904806
100,33.4269176
101,34.2080984
102,34.2518492
103,34.709302
104,33.6025874
105,33.1334386
106,33.3820144
107,33.6000418
108,33.77689
109,33.8431096
110,33.3705878
111,34.0673838
112,33.7717118
113,34.107164
114,34.35626
115,34.5208358
116,34.918153
117,35.6014406
118,35.0546992
119,35.7726446
120,35.716564
121,35.9967842
122,36.4351412
123,36.0800162
124,36.800183
125,36.9572514
126,36.750592
127,36.308371
128,35.867304
129,35.7939878
130,36.3037136
131,36.4825096
132,36.5247278
133,36.9618238
134,37.8996058
135,38.4836062
136,37.903934
137,37.5756054
138,37.98273
139,38.3136336
140,38.126702
141,37.9135524
142,38.2343746
143,38.4151968
144,38.5375244
145,38.0814954
146,37.786428
147,37.5421538
148,38.0716616
149,38.098183
150,38.1425946
151,38.1105942
152,37.7093058
153,37.5869776
154,37.160182
155,37.4593338
156,37.7699922
157,37.5158004
158,37.3271696
159,37.1186482
160,36.6285938
161,36.9412804
162,36.678184
163,37.1650592
164,37.1465396
165,37.1746762
166,37.1302386
167,36.9572242
168,36.3327582
169,36.9250602
170,36.5184838
171,36.621854
172,36.8833906
173,37.0751164
174,37.1481016
175,37.2874726
176,37.8260734
177,37.9244854
178,37.5598568
179,37.4522118
180,37.9842396
181,37.5556642
182,37.0314436
183,37.5737178
184,37.5628416
185,37.4073068
186,37.6661302
187,38.1625688
188,38.7668702
189,38.8429516
190,38.6063754
191,39.0309266
192,39.4014462
193,39.4631442
194,39.0842682
195,38.7601866
196,39.0905692
197,39.2034176
198,39.066843
199,39.2450354
200,39.3198836
201,39.1930356
202,38.693584
203,38.434377
204,38.3022406
205,38.526051
206,38.2456948
207,38.0061042
208,37.9266804
209,37.7221048
210,37.8312538
211,37.6359682
212,37.9317484
213,37.3885974
214,37.4778032
215,37.240214
216,37.2309264
217,37.476295
218,37.1982674
